"Statut de l’établissement de la filière de formation (public, privé…)",Établissement,Région de l’établissement,Filière de formation,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale
Privé sous contrat d'association,Lycée Chimie et Biologie,Provence Alpes Côte d'Azur,BTS - Production - Métiers de la chimie,48.0
Privé sous contrat d'association,Lycée Jeanne Perrimond,Provence Alpes Côte d'Azur,BTS - Services - Communication,79.0
Privé sous contrat d'association,Lycée SACRE COEUR,Provence Alpes Côte d'Azur,BTS - Services - Comptabilité et gestion,39.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence (3 Schuman),Provence Alpes Côte d'Azur,Licence - Portail Droit,90.0
Privé sous contrat d'association,Lycée CADENELLE,Provence Alpes Côte d'Azur,BTS - Services - Tourisme,53.0
Privé sous contrat d'association,Lycée CADENELLE,Provence Alpes Côte d'Azur,BTS - Services - Comptabilité et gestion,51.0
Public,Lycée Hotelier Regional,Provence Alpes Côte d'Azur,BTS - Services - Tourisme,60.0
Public,Lycée Pierre Mendès France,Provence Alpes Côte d'Azur,Mention complémentaire - Aéronautique option avions à moteur à turbines,0.0
Public,Lycée Pierre Mendès France,Provence Alpes Côte d'Azur,BTS - Production - Aéronautique,70.0
Public,Lycée Marie Madeleine Fourcade,Provence Alpes Côte d'Azur,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",26.0
Privé sous contrat d'association,Lycée Celony,Provence Alpes Côte d'Azur,BTS - Services - Négociation et digitalisation de la Relation Client,25.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence (Montperrin),Provence Alpes Côte d'Azur,Licence - Chimie - Portail Marie Curie,99.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence (Montperrin),Provence Alpes Côte d'Azur,Licence - Chimie - Portail Louis Pasteur,94.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence (Montperrin),Provence Alpes Côte d'Azur,Licence - Mécanique - Portail René Descartes,99.0
Public,Aix-Marseille Université - Site d'Arles,Provence Alpes Côte d'Azur,Licence - Portail Droit,77.0
Public,IUT Aix-Marseille - Site de la Ciotat,Provence Alpes Côte d'Azur,BUT - Hygiène Sécurité Environnement,68.0
Public,Aix-Marseille Université - Site de Marseille Espace Canebière,Provence Alpes Côte d'Azur,Licence - Portail Droit,81.0
Public,Aix-Marseille Université - Site de Marseille Espace Canebière,Provence Alpes Côte d'Azur,Licence - Portail Droit,82.0
Privé sous contrat d'association,ISRP,Provence Alpes Côte d'Azur,D.E Psychomotricien,83.0
Public,NELSON MANDELA,Provence Alpes Côte d'Azur,BTS - Services - Service et prestation des secteurs sanitaire et social,26.0
Public,Aix Marseille Université,Provence Alpes Côte d'Azur,Licence - Physique - Portail Marie Curie,93.0
Public,Aix-Marseille Université - Site de Marseille Saint Charles,Provence Alpes Côte d'Azur,Licence - Informatique - Portail René Descartes,100.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence (Jules Ferry),Provence Alpes Côte d'Azur,Licence - Portail Mathématiques et informatique appliquées aux sciences humaines et sociales,97.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,"Licence - Portail Histoire de l'art et archéologie - Archéologie, Histoire, Histoire de l'Art",85.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,Licence - Portail Psychologie,83.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,Double licence - Droit / Histoire de l'art et archéologie -,98.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER Japonais",78.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,Licence - Portail Psychologie,87.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,"Licence - Portail Histoire - Histoire, Géographie",88.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,Licence - Langues étrangères appliquées - Parcours LEA Anglais-Japonais,78.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,"Licence - Portail Philosophie, Anthropologie, Lettres",83.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,Licence - Portail Sociologie - Sociologie - Philosophie - Sciences de l'Education - Sciences du langage,85.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Trilangue Anglais - Espagnol - 3ème langue à choix",86.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,Licence - Portail Lettres - Lettres - Arts du spectacle - Musicologie,93.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,Licence - Langues étrangères appliquées - Parcours LEA Anglais-Espagnol,78.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Trilangue Anglais - Coréen - 3ème langue à choix",84.0
Public,Aix-Marseille Université - Site d'Aix-en-Provence,Provence Alpes Côte d'Azur,Licence - Portail Sociologie - Sociologie - Philosophie - Sciences de l'Education - Sciences du langage,85.0
Public,IUT Aix-Marseille - Site d'Aix-En-Provence,Provence Alpes Côte d'Azur,BUT - Carrières sociales parcours villes et territoires durables,75.0
Public,LYCEE POLYVALENT SIMONE VEIL,Provence Alpes Côte d'Azur,BTS - Services - Métiers des Services à l'environnement,36.0
Public,Aix-Marseille Université - Site de Marseille Timone,Provence Alpes Côte d'Azur,Licence - Parcours d'Accès Spécifique Santé (PASS),97.0
Public,Aix-Marseille Université - Site de Marseille Timone,Provence Alpes Côte d'Azur,Licence - Parcours d'Accès Spécifique Santé (PASS),98.0
Public,Aix-Marseille Université - Site de Marseille Timone,Provence Alpes Côte d'Azur,Licence - Parcours d'Accès Spécifique Santé (PASS),96.0
Public,Aix-Marseille Université - Site de Marseille Timone,Provence Alpes Côte d'Azur,Licence - Parcours d'Accès Spécifique Santé (PASS),97.0
Public,Aix-Marseille Université - Site de Marseille Timone,Provence Alpes Côte d'Azur,Certificat de capacité d'Orthoptiste,98.0
Public,IFSI CGD13,Provence Alpes Côte d'Azur,D.E Infirmier,85.0
Public,UFR des Sciences Médicales et Paramédicales site Nord Université Aix Marseille,Provence Alpes Côte d'Azur,D.E Ergothérapeute,94.0
Public,Aix-Marseille Université - Site de Marseille Saint-Jérôme,Provence Alpes Côte d'Azur,Licence - Chimie - Portail Marie Curie,93.0
Public,IUT Aix-Marseille - Site de Marseille St Jérôme,Provence Alpes Côte d'Azur,BUT - Gestion des entreprises et des administrations,59.0
Public,IUT Aix-Marseille - Site de Marseille St Jérôme,Provence Alpes Côte d'Azur,BUT - Techniques de commercialisation,57.0
Public,Lycée Jean Rostand,Normandie,"BTS - Services - Support à l'action managériale (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",14.0
Public,Lycée agricole Le Robillard,Normandie,BTS - Agricole - productions animales,46.0
Public,Lycée agricole Le Robillard,Normandie,BTS - Agricole - Agronomie et cultures durables,36.0
Privé sous contrat d'association,Lycée Jeanne D'Arc,Normandie,CPGE - ECG -  - Mathématiques appliquées + ESH,100.0
Privé sous contrat d'association,Lycée Sainte Ursule,Normandie,BTS - Services - Services informatiques aux organisations,37.0
Privé sous contrat d'association,Lycée Sainte Ursule,Normandie,BTS - Services - Management Commercial Opérationnel,30.0
Public,Lycée Paul Cornu,Normandie,BTS - Services - Comptabilité et gestion,30.0
Public,Université de Caen Normandie,Normandie,Licence - Portail Informatique,91.0
Public,Université de Caen Normandie,Normandie,Licence - Mathématiques et informatique appliquées aux sciences humaines et sociales - Parcours Préparatoire au Professorat des Ecoles (PPPE),88.0
Public,Université de Caen Normandie,Normandie,Licence - Arts du spectacle,80.0
Public,Université de Caen Normandie,Normandie,Licence - Sciences de la terre,93.0
Public,Université de Caen Normandie,Normandie,Licence - Mécanique,86.0
